AA,5.5379,0.4986,0
AAH,4.4742,0.7301,0
AAHED,4.4742,0.7301,0
AAHING,4.4742,0.7301,0
AAHS,4.4742,0.7301,0
AAL,4.3996,-0.8823,0
AALII,4.2078,-1.0000,1
AALIIS,4.2078,-1.0000,1
AALS,4.3996,-0.8823,0
AARDVARK,2.1206,-0.7880,0
AARDVARKS,2.1206,-0.7880,0
AARDWOLF,2.8272,-0.9901,0
AARDWOLVES,-2.0000,-1.0000,1
AARGH,3.4562,-0.7825,0
AARRGH,2.9441,-0.9914,0
AARRGHH,2.2750,-0.9914,0
AARTI,3.0845,-0.9734,0
AARTIS,3.0845,-0.9734,1
AAS,5.5379,0.4986,0
AASVOGEL,3.0239,-1.0000,1
AASVOGELS,3.0239,-1.0000,1
AATMAN,2.3611,-1.0000,1
AATMANS,2.3611,-1.0000,1
AB,5.6170,0.4017,0
ABA,4.8263,-0.4289,0
ABAC,3.8282,-0.9643,0
ABACA,3.4248,-0.9666,0
ABACAS,3.4248,-0.9666,1
ABACI,3.7522,-1.0000,1
ABACK,3.3044,-0.8894,0
ABACS,3.8282,-0.9643,1
ABACTERIAL,1.4821,-1.0000,1
ABACTINAL,-2.0000,-1.0000,1
ABACTINALLY,-2.0000,-1.0000,1
ABACTOR,2.5390,-1.0000,1
ABACTORS,2.5390,-1.0000,1
ABACUS,2.2941,-0.6953,0
ABACUSES,2.3676,-0.9914,0
ABAFT,3.7302,-0.9830,0
ABAKA,3.2913,-1.0000,1
ABAKAS,3.2913,-1.0000,1
ABALONE,3.1579,-0.8186,0
ABALONES,3.1579,-0.8186,0
ABAMP,3.3896,-1.0000,1
ABAMPERE,2.7637,-1.0000,1
ABAMPERES,2.7637,-1.0000,1
ABAMPS,3.3896,-1.0000,1
ABAND,3.3190,-1.0000,1
ABANDED,3.3190,-1.0000,1
ABANDING,3.3190,-1.0000,1
ABANDON,2.6518,-0.0410,0
ABANDONED,2.6518,0.1550,0
ABANDONEDLY,1.4773,0.1550,1
ABANDONEE,2.0441,-1.0000,1
ABANDONEES,2.0441,-1.0000,1
ABANDONER,2.6518,-0.0410,0
ABANDONERS,1.8452,-0.9914,1
ABANDONING,2.6518,-0.0410,0
ABANDONMENT,-2.0000,-0.6387,0
ABANDONMENTS,-2.0000,-0.9923,0
ABANDONS,2.6922,-0.8766,0
ABANDONWARE,-2.0000,-0.9114,0
ABANDONWARES,-2.0000,-1.0000,1
ABANDS,3.3190,-1.0000,1
ABAPICAL,2.3699,-1.0000,1
ABAS,4.8263,-0.4289,0
ABASE,3.1917,-0.9747,0
ABASED,3.5017,-0.9717,0
ABASEDLY,2.5989,-0.9896,1
ABASEMENT,2.1513,-0.9736,0
ABASEMENTS,2.1513,-0.9736,1
ABASER,3.5017,-0.9717,1
ABASERS,2.3935,-1.0000,1
ABASES,3.5017,-0.9717,1
ABASH,3.0158,-1.0000,1
ABASHED,3.0158,-0.9797,0
ABASHEDLY,2.4759,-0.9797,1
ABASHES,3.0158,-1.0000,1
ABASHING,3.0158,-1.0000,1
ABASHLESS,-2.0000,-1.0000,1
ABASHMENT,1.8940,-1.0000,1
ABASHMENTS,1.8940,-1.0000,1
ABASIA,2.8865,-1.0000,1
ABASIAS,2.8865,-1.0000,1
ABASING,3.5017,-0.9717,1
ABASK,2.9738,-1.0000,1
ABATABLE,2.2347,-1.0000,1
ABATE,3.5934,-0.8325,0
ABATED,3.5934,-0.8325,0
ABATEMENT,2.1217,-0.5840,0
ABATEMENTS,2.1217,-0.5840,0
ABATER,3.5934,-0.8325,1
ABATERS,2.8220,-1.0000,1
ABATES,3.5934,-0.8325,0
ABATING,3.5934,-0.8325,0
ABATIS,2.1785,-1.0000,1
ABATISES,2.8664,-1.0000,1
ABATOR,2.8326,-1.0000,1
ABATORS,2.8326,-1.0000,1
ABATTIS,2.4450,-1.0000,1
ABATTISES,2.4450,-1.0000,1
ABATTOIR,3.1951,-0.9355,0
ABATTOIRS,3.1951,-0.9355,0
ABATTU,3.1214,-1.0000,1
ABATURE,3.0000,-1.0000,1
ABATURES,3.0000,-1.0000,1
ABAXIAL,2.4178,-0.9879,0
ABAXILE,2.7402,-1.0000,1
ABAYA,3.5591,-0.9648,0
ABAYAS,3.5591,-0.9648,1
ABB,3.9750,-0.6428,0
ABBA,3.2973,-0.5735,0
ABBACIES,2.4333,-1.0000,1
ABBACY,2.4333,-1.0000,1
ABBAS,3.2973,-0.5735,0
ABBATIAL,2.0762,-1.0000,1
ABBE,3.4607,-0.8848,0
ABBED,5.6170,0.4017,1
ABBES,3.9750,-0.6428,0
ABBESS,2.4592,-0.9648,0
ABBESSES,1.6022,-0.9648,0
ABBEY,3.1495,-0.2819,0
ABBEYS,3.1495,-0.2819,0
ABBOT,3.1150,-0.7006,0
ABBOTCIES,2.1979,-1.0000,1
ABBOTCY,2.1979,-1.0000,1
ABBOTS,3.1150,-0.7006,0
ABBOTSHIP,1.3012,-1.0000,1
ABBOTSHIPS,1.3012,-1.0000,1
ABBREVIATE,0.6208,-0.9431,0
ABBREVIATED,1.1764,-0.6541,0
ABBREVIATES,1.4773,-0.9913,0
ABBREVIATING,0.6208,-0.9431,0
ABBREVIATION,-2.0000,-0.5696,0
ABBREVIATIONS,-2.0000,-0.3276,0
ABBREVIATOR,-2.0000,-1.0000,1
ABBREVIATORS,-2.0000,-1.0000,1
ABBREVIATORY,-2.0000,-1.0000,1
ABBREVIATURE,-2.0000,-1.0000,1
ABBREVIATURES,-2.0000,-1.0000,1
ABBS,3.9750,-0.6428,0
ABCEE,3.7132,-1.0000,1
ABCEES,3.7132,-1.0000,1
ABCOULOMB,-2.0000,-1.0000,1
ABCOULOMBS,-2.0000,-1.0000,1
ABDABS,1.9503,-1.0000,1
ABDICABLE,-2.0000,-1.0000,1
ABDICANT,2.8391,-1.0000,1
ABDICANTS,2.8391,-1.0000,1
ABDICATE,3.1296,-0.9281,0
ABDICATED,3.1296,-0.9281,0
ABDICATES,3.1296,-0.9281,0
ABDICATING,3.1296,-0.9281,0
ABDICATION,-2.0000,-0.9476,0
ABDICATIONS,-2.0000,-1.0000,1
ABDICATIVE,-2.0000,-1.0000,1
ABDICATOR,1.4773,-1.0000,1
ABDICATORS,1.4773,-1.0000,1
ABDOMEN,2.7926,-0.3615,0
ABDOMENS,2.8152,-0.9747,0
ABDOMINA,2.8540,-1.0000,1
ABDOMINAL,2.0368,-0.3556,0
ABDOMINALLY,2.0368,-0.3556,1
ABDOMINALS,2.0368,-0.3556,0
ABDOMINOPLASTY,-2.0000,-0.9283,0
ABDOMINOUS,-2.0000,-1.0000,1
ABDUCE,3.1966,-1.0000,1
ABDUCED,3.1966,-1.0000,1
ABDUCENS,2.5915,-1.0000,1
ABDUCENT,2.9581,-1.0000,1
ABDUCENTES,2.9581,-1.0000,1
ABDUCES,3.1966,-1.0000,1
ABDUCING,3.1966,-1.0000,1
ABDUCT,3.3616,-0.7670,0
ABDUCTED,3.3616,-0.2218,0
ABDUCTEE,2.9240,-0.8570,0
ABDUCTEES,2.9240,-0.8570,0
ABDUCTING,3.3616,-0.7670,0
ABDUCTION,1.5741,-0.3344,0
ABDUCTIONS,1.5741,-0.3344,0
ABDUCTOR,2.8330,-0.8697,0
ABDUCTORES,2.8330,-0.8697,1
ABDUCTORS,2.8330,-0.8697,0
ABDUCTS,3.3616,-0.7670,0
ABEAM,3.4619,-0.9431,0
ABEAR,3.3092,-1.0000,1
ABEARING,3.3455,-1.0000,1
ABEARS,3.3092,-1.0000,1
ABECEDARIAN,-2.0000,-0.9915,0
ABECEDARIANS,-2.0000,-1.0000,1
ABED,5.6170,0.4017,0
ABEGGING,1.9473,-1.0000,1
ABEIGH,3.5434,-1.0000,1
ABELE,3.2778,-0.9735,0
ABELES,3.2778,-0.9735,0
ABELIA,3.2826,-0.9890,0
ABELIAN,3.1829,-0.8150,0
ABELIAS,3.2826,-0.9890,1
ABELMOSK,2.3506,-1.0000,1
ABELMOSKS,2.3506,-1.0000,1
ABER,5.6170,0.4017,0
ABERDEVINE,1.0004,-1.0000,1
ABERDEVINES,1.0004,-1.0000,1
ABERNETHIES,1.0004,-0.9406,1
ABERNETHY,1.0004,-0.9406,0
ABERRANCE,1.6991,-1.0000,1
ABERRANCES,1.6991,-1.0000,1
ABERRANCIES,-2.0000,-1.0000,1
ABERRANCY,-2.0000,-1.0000,1
ABERRANT,3.1799,-0.8636,0
ABERRANTLY,3.1799,-0.8636,1
ABERRANTS,3.1799,-0.8636,1
ABERRATE,3.1235,-1.0000,1
ABERRATED,3.1235,-1.0000,1
ABERRATES,3.1235,-1.0000,1
ABERRATING,3.1235,-1.0000,1
ABERRATION,-2.0000,-0.8097,0
ABERRATIONAL,-2.0000,-1.0000,1
ABERRATIONS,1.3012,-0.8367,0
ABERS,3.1304,-0.6928,1
ABESSIVE,2.7102,-1.0000,1
ABESSIVES,2.7102,-1.0000,1
ABET,3.6385,-0.8906,0
ABETMENT,2.6887,-1.0000,1
ABETMENTS,2.6887,-1.0000,1
ABETS,3.6385,-0.8906,0
ABETTAL,2.6340,-1.0000,1
ABETTALS,2.6340,-1.0000,1
ABETTED,3.6385,-0.8906,0
ABETTER,3.6385,-0.8906,1
ABETTERS,2.8483,-1.0000,1
ABETTING,3.6385,-0.8210,0
ABETTOR,2.7387,-0.9914,0
ABETTORS,2.8992,-1.0000,1
ABEYANCE,2.7188,-0.9465,0
ABEYANCES,2.7188,-0.9465,1
