AACCARAS,-3.214,0
AACHOLIA,-3.267,0
AADEPTEST,-2.606,0
AALGICIDE,-2.741,0
AANKLY,-3.333,0
AARDMEN,-3.257,0
AARKED,-2.335,0
AARRANT,-2.449,0
AASHIVER,-2.111,0
AASTINAS,-2.325,0
ABACIED,-0.876,0
ABACIER,-0.859,0
ABACIING,-1.256,0
ABACIISH,-2.633,0
ABACIS,-1.208,0
ABACKED,-0.650,0
ABACKER,-0.695,0
ABACKING,-0.581,0
ABACKISH,-1.002,0
ABACKS,-0.660,0
ABACKY,-1.055,0
ABACTOURS,-0.668,0
ABAFTED,-0.995,0
ABAFTER,-1.080,0
ABAFTING,-0.835,0
ABAFTISH,-1.648,0
ABAFTS,-1.145,0
ABAFTY,-1.863,0
ABAMPERED,-0.940,0
ABAMPEREED,-0.976,0
ABAMPEREER,-1.189,0
ABAMPEREING,-0.844,0
ABAMPEREISH,-1.352,0
ABAMPERER,-1.296,0
ABAMPEREY,-1.778,0
ABAMPERING,-0.731,0
ABANDINGS,-0.621,0
ABASHIS,-1.351,0
ABASIAE,-2.369,0
ABASIAED,-1.693,0
ABASIAER,-1.862,0
ABASIAING,-1.302,0
ABASIAISH,-2.555,0
ABASIUMS,-1.284,0
ABATEED,-0.858,0
ABATEER,-1.108,0
ABATEING,-0.790,0
ABATEISH,-1.469,0
ABATEY,-2.199,0
ABATISED,-0.694,0
ABATISER,-0.803,0
ABATISING,-0.641,0
ABATISISH,-1.011,0
ABATISS,-0.931,0
ABATISY,-1.956,0
ABATURED,-0.790,0
ABATUREED,-0.832,0
ABATUREER,-1.012,0
ABATUREING,-0.737,0
ABATUREISH,-1.175,0
ABATURER,-1.090,0
ABATUREY,-1.549,0
ABATURING,-0.673,0
ABAXIALED,-1.329,0
ABAXIALER,-1.611,0
ABAXIALING,-0.809,0
ABAXIALISH,-1.282,0
ABAXIALS,-1.389,0
ABAXIALY,-1.729,0
ABAYAED,-2.321,0
ABAYAER,-2.546,0
ABAYAING,-1.352,0
ABAYUMS,-1.991,0
ABBATIALED,-0.851,0
ABBATIALER,-0.990,0
ABBATIALING,-0.638,0
ABBATIALISH,-0.855,0
ABBATIALS,-0.845,0
ABBATIALY,-1.004,0
ABBESSIS,-1.074,0
